link,full_name,year,mileage_km,gear_type,fuel_type,price,dateAdd
www.autobazar.eu/ford-fiesta-16-16v-sport-id21385247.html,Ford Fiesta 1.6 16V Sport,2007,150 000 km,Manuál,Benzín,3 900 €,11.09.2022
www.autobazar.eu/ford-galaxy-20-id21376293.html,Ford Galaxy 2.0,2009,420 000 km,Manuál,Diesel,4 000 €,12.09.2022
www.autobazar.eu/ford-transit-van-300-m-22-tdci-id20617904.html,Ford Transit Van 300 M 2.2 TDCi,2008,281 000 km,Manuál,Diesel,4 300 €,12.09.2022
www.autobazar.eu/ford-mondeo-combi-2.0-tdci-id21365208.html,"Ford Mondeo Combi 2,0 TDCi",2008,197 735 km,Manuál,Diesel,4 300 €,11.09.2022
www.autobazar.eu/ford-tourneo-connect-18tdci-id21383491.html,Ford Tourneo Connect 1.8TDCI,2012,239 773 km,Manuál,Diesel,"4 499 € 
s DPH (Možný odpočet DPH)",10.09.2022
www.autobazar.eu/ford-focus-16-tdci-duratorq-dpf-titanium-id21357599.html,Ford Focus 1.6 TDCi Duratorq DPF Titanium,2008,149 001 km,Manuál,Diesel,4 990 €,12.09.2022
www.autobazar.eu/ford-focus-14-16v-59kw-benzin-id20459446.html,Ford Focus 1.4 16V  59kw Benzín,2010,121 590 km,Manuál,Benzín,5 290 €,12.09.2022
www.autobazar.eu/ford-galaxy-20-tdci-trend-a-t-id21373197.html,Ford Galaxy 2.0 TDCi Trend A/T,2009,323 000 km,Automat,Diesel,5 300 €,12.09.2022
www.autobazar.eu/ford-transit-dodavka-107kw-manual-id21326003.html,Ford Transit Dodávka 107kw Manuál,2010,220 000 km,Manuál,Benzín+Plyn,5 390 €,03.09.2022
www.autobazar.eu/ford-c-max-16-tdci-dpf-trend-x-id21332012.html,Ford C-Max 1.6 TDCi DPF Trend X,2010,207 462 km,Manuál,Diesel,5 499 €,11.09.2022
www.autobazar.eu/ford-fiesta-1.0i-id20822507.html,"Ford Fiesta 1,0i",2013,167 261 km,Manuál,Benzín,5 500 €,12.09.2022
